shingle,notice_id
pit 55 553,N000001
53 83 771,N000001
55 553 mt,N000001
508 and 51,N000001
section 84 524,N000001
16 53 83,N000001
172 and 84,N000001
finisher 10 261,N000001
01 337 bid,N000001
13 247 and,N000001
367005 electronic mail,N000001
foundation 8 570,N000001
27 735 and,N000001
driver 62 502,N000001
82 944 of,N000001
chainage 13 247,N000001
735 and 68,N000001
1786 25 369,N000001
telephone 02052 367005,N000001
spoil 43 641,N000001
chainage 36 508,N000001
68 507 of,N000001
dausa telephone 02052,N000001
2024 85467 procuring,N000001
33 986 litre,N000001
rajeshwari pillai water,N000001
92 532 quintal,N000001
62 502 litre,N000001
73 01 337,N000001
and 84 922,N000001
85467 procuring entity,N000001
3 73 01,N000001
pillai dausa water,N000001
mm 47 234,N000001
and 82 944,N000001
and 68 507,N000001
chainage 27 735,N000001
foundation 82 640,N000001
02052 367005 electronic,N000001
84 524 each,N000001
staging 92 532,N000001
84 922 of,N000001
36 508 and,N000001
82 640 rmt,N000001
ref 2024 85467,N000001
83 771 experience,N000001
25 369 litre,N000001
panel 33 986,N000001
8 570 quintal,N000001
10 261 each,N000001
43 641 sqm,N000001
47 234 litre,N000001
247 and 82,N000001
2 172 and,N000001
7 60 00,N000001
notice mar 01,N000001
chainage 2 172,N000001
director rajeshwari pillai,N000001
mail pillai dausa,N000001
mar 01 2024,N000001
mar 20 2024,N000001
2 808 per,N000001
rs 2 808,N000001
rs 16 53,N000001
than 2923338 bid,N000009
2923338 bid validity,N000009
91000 cost of,N000009
tender 4530000 earnest,N000009
money deposit 91000,N000009
deposit 91000 cost,N000009
reference number 00083536,N000009
at osmanabad 00083536,N000009
less than 2923338,N000009
to tender 4530000,N000009
00083536 name of,N000009
number 00083536 procuring,N000009
osmanabad 00083536 name,N000009
years 9287619 experience,N000009
4530000 earnest money,N000009
osmanabad abstract b,N000009
00083536 procuring entity,N000009
9287619 experience of,N000009
financial years 9287619,N000009
and 41 062,N000009
019 and 41,N000009
530 and 78,N000009
41 062 of,N000009
663 and 65,N000009
chainage 36 019,N000009
and 65 631,N000009
36 019 and,N000009
chainage 3 530,N000009
3 530 and,N000009
and 78 190,N000009
78 190 of,N000009
65 631 of,N000009
24 663 and,N000009
chainage 24 663,N000009
terminal at osmanabad,N000009
5 422 litre,N000017
finisher 61 364,N000017
rs 89 55,N000017
jointing 940 sqm,N000017
including jointing 940,N000017
55 598 mt,N000017
09013 704307 electronic,N000017
64 034 of,N000017
8 855 and,N000017
staging 5 422,N000017
88 320 of,N000017
trenching 29 533,N000017
signs 68 827,N000017
704307 electronic mail,N000017
65 664 rmt,N000017
31 35 79,N000017
